Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Possui_suite
Box/Garagem;Tijuca;0;0;0;0;380.0;;;;;Não
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;;1898.0;;Sim
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;8500.0;102434.0;Sim
Flat;Copacabana;1;1;0;63;3600.0;1215.0;;4815.0;;Não
Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0;5800.0;69750.0;Sim
Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;16500.0;198572.0;Sim
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;;5047.0;;Não
Loja/Salão;Maracanã;0;0;0;85;6500.0;;385.0;;;Não
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;3250.0;39760.0;Não
Casa;Jardim Carioca;3;2;1;135;3000.0;;;;;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;2100.0;495.0;140.0;2595.0;31280.0;Não
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;3230.0;38938.0;Sim
Conjunto Comercial/Sala;Copacabana;0;2;0;210;25200.0;6300.0;1890.0;31500.0;379890.0;Não
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;1100.0;13216.0;Não
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;5250.0;63309.0;Sim
Conjunto Comercial/Sala;Tijuca;0;1;0;32;900.0;450.0;;1350.0;;Não
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;;2732.0;;Sim
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;;1520.0;;Não
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;2766.0;33425.0;Não
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;15200.0;183050.0;Sim
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;;3665.0;;Sim
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;3548.0;42836.0;Sim
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;;12000.0;;Sim
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;3003.0;36248.0;Sim
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;2450.0;29565.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650.0;530.0;170.0;1180.0;14330.0;Não
Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;;31600.0;;Sim
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;;2150.0;;Não
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;6900.0;84800.0;Sim
Casa;Lins de Vasconcelos;2;0;0;40;950.0;;50.0;;;Não
Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;22490.0;270500.0;Sim
Conjunto Comercial/Sala;Botafogo;0;8;0;463;92600.0;11843.0;14355.0;104443.0;1267671.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;190;4500.0;886.0;;5386.0;;Não
Conjunto Comercial/Sala;Centro;0;0;0;185;3000.0;10046.0;462.0;13046.0;157014.0;Não
Conjunto Comercial/Sala;Centro;0;4;0;230;7000.0;3130.0;1202.0;10130.0;122762.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;55;1760.0;1420.0;;3180.0;;Não
Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;20900.0;251800.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;2800.0;560.0;;3360.0;;Não
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;;5000.0;;Sim
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;;2100.0;;Sim
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;3100.0;37321.0;Sim
Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0;32500.0;392510.0;Sim
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;4770.0;57513.0;Não
Loja/Salão;Copacabana;0;0;0;13;1500.0;520.0;95.0;2020.0;24335.0;Não
Loja/Salão;Barra da Tijuca;0;1;0;95;15000.0;1800.0;1000.0;16800.0;202600.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;700.0;6000.0;72700.0;Não
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0;7200.0;89708.0;Sim
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;8870.0;107022.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000.0;450.0;;1450.0;;Não
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;;2588.0;;Sim
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;5300.0;63800.0;Não
Apartamento;Cidade Nova;1;0;0;46;1000.0;;;;;Não
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;1550.0;18616.0;Não
Loja/Salão;Barra da Tijuca;0;1;0;50;1100.0;1338.0;;2438.0;;Não
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;8386.0;101082.0;Sim
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;;1562.0;;Não
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;;3711.0;;Sim
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;2147.0;25789.0;Não
Apartamento;Olaria;1;0;0;39;800.0;;;;;Não
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;8300.0;100106.0;Sim
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;;1180.0;;Não
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;13210.0;162742.0;Sim
Casa;Tijuca;4;1;1;191;4000.0;300.0;;4300.0;;Sim
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;1770.0;21264.0;Não
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;1840.0;22141.0;Não
Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0;6250.0;75500.0;Sim
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;4923.0;59362.0;Não
Loja/Salão;Barra da Tijuca;0;8;0;500;38000.0;;4971.0;;;Não
Apartamento;Leblon;3;0;1;85;8500.0;;1719.0;;;Sim
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;2650.0;31916.0;Não
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;10900.0;131050.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;100;2800.0;1500.0;490.0;4300.0;52090.0;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;;2700.0;;Sim
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;2450.0;29495.0;Sim
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;3800.0;45950.0;Sim
Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;129600.0;60480.0;;190080.0;;Não
Apartamento;Taquara;2;2;0;55;790.0;350.0;;1140.0;;Não
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;1453.0;17461.0;Não
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;;2390.0;;Não
